Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S71101665,Canada Goose,Branta canadensis,324,100,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2020-07-03,06:00 PM,eBird - Traveling Count,83,0,35.406,,1,,,"Bike ride loop via UB south, Tonawanda, UB north, Amherst."
S74759982,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2020-10-12,12:04 PM,eBird - Casual Observation,,0,,,1,,Flyover,"Afternoon in the yard and garage, off and on around 12-5pm"
S80832073,Canada Goose,Branta canadensis,324,7,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-02-11,09:24 AM,eBird - Stationary Count,40,1,,,2
S82762106,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-03-03,08:06 AM,eBird - Stationary Count,11,1,,,2
S83350065,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-03-11,08:26 AM,eBird - Stationary Count,34,1,,,2
S83350077,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-03-12,07:23 AM,eBird - Casual Observation,,0,,,1
S83772376,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-03-20,10:12 AM,eBird - Casual Observation,,0,,,2,,,Daily tally working and constantly looking out back
S84105709,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-03-25,08:06 AM,eBird - Casual Observation,,0,,,2
S84308209,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-03-28,08:18 AM,eBird - Casual Observation,,0,,,2
S84510000,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-03-31,07:58 AM,eBird - Traveling Count,47,1,.914,,2
S84593543,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-04-01,08:36 AM,eBird - Stationary Count,34,1,,,2
S84809463,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-04-04,10:58 AM,eBird - Stationary Count,224,1,,,2
S84998190,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-04-05,07:34 AM,eBird - Stationary Count,37,1,,,2
S84998168,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L11395404,Burbank House,42.965164,-78.776817,2021-04-06,04:04 PM,eBird - Stationary Count,95,1,,,2
